,Unnamed: 0,datedict,timedict,BLlist,BRList,entp,extp,percandlev,Fcv,VpTotal,VnTotal,Real,Predicted,Real_Predicted,abc,Won_Mode,Loose_Mode
90,90,2023-07-12,12:31:00,BL_4437.598,-_-4364.956,842.8,842.1,-6941.48,-744.365,463297.646,-567419.776,Loose,Loose,Loose_Loose,-22.47413318391864,-17.493423553699216,-27.295862122517832
91,91,2023-07-12,14:16:00,BL_5287.351,-_-5056.51,845.5,842.0,-5836.48,-1089.907,1567056.855,-1654604.1120000002,Loose,Loose,Loose_Loose,-5.586731376124845,-17.493423553699216,-27.295862122517832
92,92,2023-07-13,10:01:00,BL_1085.162,-_-893.974,846.6,843.0,333.06,-198.544,12019.944,-7024.068,Loose,WON,Loose_WON,41.56322192516038,-17.493423553699216,-27.295862122517832
93,93,2023-07-13,10:46:00,BL_1909.618,-_-1117.934,845.4,841.25,526.3,-280.313,46779.264,-38884.741,Loose,WON,Loose_WON,16.876116306575497,-17.493423553699216,-27.295862122517832
94,94,2023-07-14,10:01:00,BL_1691.691,-_-624.696,841.15,848.2,234.39,356.275,8842.372,-5326.464,WON,WON,WON_WON,39.762045749715114,-17.493423553699216,-27.295862122517832
95,95,2023-07-14,11:16:00,BL_5375.554,-_-3266.492,842.95,850.5,234.93,679.59,153174.41100000002,-149650.47000000003,WON,WON,WON_WON,2.300606855279497,-17.493423553699216,-27.295862122517832
96,96,2023-07-14,11:46:00,BL_6471.724,-_-4120.111,843.25,850.5,2281.15,-729.384,299403.412,-265186.185,WON,WON,WON_WON,11.428469292126834,-17.493423553699216,-27.295862122517832
97,97,2023-07-17,12:31:00,BL_6458.824,-_-4689.924,852.5,850.85,-1405.11,-735.908,549956.358,-571032.9380000001,Loose,Loose,Loose_Loose,-3.832409552759472,-17.493423553699216,-27.295862122517832
98,98,2023-07-18,10:01:00,_1990.22,BR_-2146.579,853.15,849.15,-117.11,298.329,16283.176,-18039.872,Loose,Loose,Loose_Loose,-10.788411302561613,-17.493423553699216,-27.295862122517832
99,99,2023-07-18,13:31:00,_5349.782,BR_-6079.309,857.9,858.6,16530.39,906.837,1069606.89,-821651.022,WON,WON,WON_WON,23.181962487171333,-17.493423553699216,-27.295862122517832
100,100,2023-07-19,11:01:00,BL_2376.649,-_-1857.495,857.4,859.5,-20.27,308.241,70352.144,-70656.152,WON,Loose,WON_Loose,-0.4321232910826467,-17.493423553699216,-27.295862122517832
101,101,2023-07-19,11:46:00,BL_2929.297,-_-2706.158,859.8,859.5,1374.67,389.584,184016.613,-163396.629,Loose,WON,Loose_WON,11.20550132068783,-17.493423553699216,-27.295862122517832
102,102,2023-07-20,11:16:00,_1028.335,BR_-1528.849,858.7,866.0,19.85,211.146,62016.624,-61718.913,WON,WON,WON_WON,0.48005031683118204,-17.493423553699216,-27.295862122517832
103,103,2023-07-20,12:31:00,_2752.834,BR_-3882.6,864.8,871.9,-1937.51,448.882,216815.312,-245877.954,WON,Loose,WON_Loose,-13.404330963488405,-17.493423553699216,-27.295862122517832
104,104,2023-07-21,12:46:00,BL_5219.278,-_-3880.549,864.35,860.3,-5137.89,593.918,515019.975,-592088.34,Loose,Loose,Loose_Loose,-14.964150662311695,-17.493423553699216,-27.295862122517832
105,105,2023-07-24,11:01:00,_1533.438,BR_-2068.289,859.3,855.0,846.73,-312.015,80697.632,-67996.632,Loose,WON,Loose_WON,15.738999627647061,-17.493423553699216,-27.295862122517832
106,106,2023-07-25,11:46:00,BL_1460.828,-_-1387.759,860.9,867.9,-251.88,221.977,86965.78,-90743.906,WON,Loose,WON_Loose,-4.344382353610811,-17.493423553699216,-27.295862122517832
107,107,2023-07-25,12:31:00,_2765.173,BR_-2852.855,866.25,862.75,-503.19,-352.585,178329.91400000002,-185877.832,Loose,Loose,Loose_Loose,-4.232558537542928,-17.493423553699216,-27.295862122517832
108,108,2023-07-25,13:46:00,_2440.438,BR_-3219.532,863.55,868.95,-5286.1,497.66,463060.172,-542351.618,WON,Loose,WON_Loose,-17.123356918720276,-17.493423553699216,-27.295862122517832
109,109,2023-07-27,12:16:00,_13255.92,BR_-14457.571,855.45,852.0,-7293.11,1918.318,1124331.754,-1233728.392,Loose,Loose,Loose_Loose,-9.729925140938434,-17.493423553699216,-27.295862122517832
110,110,2023-07-27,13:46:00,BL_19937.158,-_-14944.623,853.4,849.1,-30862.36,-2241.879,3138779.1190000004,-3601714.575,Loose,Loose,Loose_Loose,-14.748901991787449,-17.493423553699216,-27.295862122517832
111,111,2023-07-28,10:16:00,_3669.967,BR_-3851.88,856.4,858.45,-313.14,-636.222,54537.68,-59234.76,WON,Loose,WON_Loose,-8.612540907497348,-17.493423553699216,-27.295862122517832
112,112,2023-07-28,11:16:00,BL_6310.446,-_-6016.992,857.6,854.0,-1099.97,923.507,278920.269,-295419.879,Loose,Loose,Loose_Loose,-5.91552921526835,-17.493423553699216,-27.295862122517832
113,113,2023-07-31,10:46:00,BL_4114.03,-_-2419.226,858.1,859.45,1024.57,530.519,117025.37,-101656.772,WON,WON,WON_WON,13.132706181574136,-17.493423553699216,-27.295862122517832
114,114,2023-07-31,11:16:00,BL_5705.748,-_-4391.427,858.15,859.45,1287.87,584.74,221693.22000000003,-202375.215,WON,WON,WON_WON,8.713845646700435,-17.493423553699216,-27.295862122517832
115,115,2023-07-31,12:46:00,_6349.739,BR_-6838.29,859.8,856.1,3758.19,808.708,823789.3049999999,-767416.5,Loose,WON,Loose_WON,6.843109598272818,-17.493423553699216,-27.295862122517832
116,116,2023-08-01,12:31:00,BL_5741.643,-_-3569.197,858.4,854.0,10502.71,657.65,456333.374,-298792.76,Loose,WON,Loose_WON,34.52314097018028,-17.493423553699216,-27.295862122517832
